"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
140.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
141.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
142.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
143.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
144.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
145.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
146.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
147.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
148.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
149.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
150.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
151.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
152.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
153.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
154.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
155.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
156.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
157.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
158.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
159.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
160.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
161.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
162.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
163.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
164.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
